chain,contract_reuse_count,runtime_group_count,contracts_in_group,cumulative_contracts,total_contracts,cumulative_contract_fraction,cumulative_runtime_groups,total_runtime_groups,cumulative_runtime_fraction
ethereum,261,6,1566,1171328,72881396,0.016071700931743954,360140,362813,0.9926325682927569
ethereum,262,5,1310,1172638,72881396,0.01608967534046686,360145,362813,0.9926463494968483
ethereum,263,6,1578,1174216,72881396,0.01611132695647048,360151,362813,0.9926628869417579
ethereum,264,7,1848,1176064,72881396,0.016136683221600202,360158,362813,0.9926821806274858
ethereum,265,7,1855,1177919,72881396,0.016162135533188744,360165,362813,0.9927014743132136
ethereum,266,5,1330,1179249,72881396,0.016180384360365434,360170,362813,0.9927152555173051
ethereum,267,6,1602,1180851,72881396,0.0162023652785136,360176,362813,0.9927317929622147
ethereum,268,6,1608,1182459,72881396,0.016224428522197902,360182,362813,0.9927483304071243
ethereum,269,4,1076,1183535,72881396,0.016239192235011524,360186,362813,0.9927593553703974
ethereum,270,9,2430,1185965,72881396,0.01627253407714638,360195,362813,0.9927841615377618
ethereum,271,2,542,1186507,72881396,0.01627997081724395,360197,362813,0.9927896740193984
ethereum,272,9,2448,1188955,72881396,0.016313559635987213,360206,362813,0.9928144801867629
ethereum,273,3,819,1189774,72881396,0.016324797071669703,360209,362813,0.9928227489092177
ethereum,274,7,1918,1191692,72881396,0.01635111380138767,360216,362813,0.9928420425949456
ethereum,275,7,1925,1193617,72881396,0.016377526577564458,360223,362813,0.9928613362806735
ethereum,276,5,1380,1194997,72881396,0.016396461450875612,360228,362813,0.9928751174847649
ethereum,277,5,1385,1196382,72881396,0.01641546492880021,360233,362813,0.9928888986888562
ethereum,278,6,1668,1198050,72881396,0.016438351427845867,360239,362813,0.9929054361337659
ethereum,279,6,1674,1199724,72881396,0.016461320252427657,360245,362813,0.9929219735786755
ethereum,280,8,2240,1201964,72881396,0.01649205511925156,360253,362813,0.9929440235052217
ethereum,281,10,2810,1204774,72881396,0.016530610912008328,360263,362813,0.9929715859134044
ethereum,282,6,1692,1206466,72881396,0.01655382671319852,360269,362813,0.9929881233583141
ethereum,283,11,3113,1209579,72881396,0.016596539945530134,360280,362813,0.993018442007315
ethereum,284,10,2840,1212419,72881396,0.01663550736596758,360290,362813,0.9930460044154978
ethereum,285,3,855,1213274,72881396,0.01664723875486688,360293,362813,0.9930542731379526
ethereum,286,9,2574,1215848,72881396,0.016682556409868987,360302,362813,0.993079079305317
ethereum,287,1,287,1216135,72881396,0.0166864943146808,360303,362813,0.9930818355461354
ethereum,288,9,2592,1218727,72881396,0.016722058946291314,360312,362813,0.9931066417134998
ethereum,289,8,2312,1221039,72881396,0.01675378171954884,360320,362813,0.993128691640046
ethereum,290,5,1450,1222489,72881396,0.01677367705744824,360325,362813,0.9931424728441374
ethereum,291,6,1746,1224235,72881396,0.016797633788463658,360331,362813,0.993159010289047
ethereum,292,2,584,1224819,72881396,0.016805646807314174,360333,362813,0.9931645227706836
ethereum,293,3,879,1225698,72881396,0.016817707498358016,360336,362813,0.9931727914931383
ethereum,294,7,2058,1227756,72881396,0.016845945157252476,360343,362813,0.9931920851788663
ethereum,295,6,1770,1229526,72881396,0.016870231190412435,360349,362813,0.9932086226237758
ethereum,296,5,1480,1231006,72881396,0.01689053815599251,360354,362813,0.9932224038278672
ethereum,297,3,891,1231897,72881396,0.016902763498108625,360357,362813,0.993230672550322
ethereum,298,5,1490,1233387,72881396,0.016923207672915594,360362,362813,0.9932444537544134
ethereum,299,3,897,1234284,72881396,0.016935515340567846,360365,362813,0.9932527224768682
ethereum,300,25,7500,1241784,72881396,0.01703842226073716,360390,362813,0.9933216284973251
ethereum,301,5,1505,1243289,72881396,0.017059072249384466,360395,362813,0.9933354097014164
ethereum,302,2,604,1243893,72881396,0.01706735968668877,360397,362813,0.993340922183053
ethereum,303,3,909,1244802,72881396,0.017079832005413288,360400,362813,0.9933491909055078
ethereum,304,9,2736,1247538,72881396,0.017117372449891054,360409,362813,0.9933739970728722
ethereum,305,3,915,1248453,72881396,0.01712992709415171,360412,362813,0.9933822657953271
ethereum,306,2,612,1249065,72881396,0.017138324298837524,360414,362813,0.9933877782769636
ethereum,307,6,1842,1250907,72881396,0.017163598238431107,360420,362813,0.9934043157218733
ethereum,308,6,1848,1252755,72881396,0.017188954503560828,360426,362813,0.9934208531667829
ethereum,309,5,1545,1254300,72881396,0.017210153329115706,360431,362813,0.9934346343708742
ethereum,310,11,3410,1257710,72881396,0.01725694167548602,360442,362813,0.9934649530198753
ethereum,311,5,1555,1259265,72881396,0.01727827771026779,360447,362813,0.9934787342239666
