chain,block_date,create_trace_count
ethereum,2017-07-26,7630
ethereum,2017-07-27,2114
ethereum,2017-07-28,1993
ethereum,2017-07-29,3155
ethereum,2017-07-30,8408
ethereum,2017-07-31,7926
ethereum,2017-08-01,11003
ethereum,2017-08-02,8212
ethereum,2017-08-03,14126
ethereum,2017-08-04,7665
ethereum,2017-08-05,7426
ethereum,2017-08-06,13552
ethereum,2017-08-07,11419
ethereum,2017-08-08,9860
ethereum,2017-08-09,12030
ethereum,2017-08-10,11510
ethereum,2017-08-11,13615
ethereum,2017-08-12,17197
ethereum,2017-08-13,20558
ethereum,2017-08-14,24891
ethereum,2017-08-15,29494
ethereum,2017-08-16,6083
ethereum,2017-08-17,14561
ethereum,2017-08-18,13905
ethereum,2017-08-19,10888
ethereum,2017-08-20,19502
ethereum,2017-08-21,13102
ethereum,2017-08-22,15639
ethereum,2017-08-23,13393
ethereum,2017-08-24,6608
ethereum,2017-08-25,3822
ethereum,2017-08-26,7755
ethereum,2017-08-27,11157
ethereum,2017-08-28,7496
ethereum,2017-08-29,10817
ethereum,2017-08-30,9921
ethereum,2017-08-31,10454
ethereum,2017-09-01,12295
ethereum,2017-09-02,12838
ethereum,2017-09-03,13747
ethereum,2017-09-04,9324
ethereum,2017-09-05,10954
ethereum,2017-09-06,8078
ethereum,2017-09-07,13677
ethereum,2017-09-08,13697
ethereum,2017-09-09,17153
ethereum,2017-09-10,13879
ethereum,2017-09-11,15423
ethereum,2017-09-12,4777
ethereum,2017-09-13,9651
ethereum,2017-09-14,5574
ethereum,2017-09-15,2759
ethereum,2017-09-16,13665
ethereum,2017-09-17,11424
ethereum,2017-09-18,7546
ethereum,2017-09-19,6771
ethereum,2017-09-20,28690
ethereum,2017-09-21,26771
ethereum,2017-09-22,5932
ethereum,2017-09-23,6040
ethereum,2017-09-24,3930
ethereum,2017-09-25,6825
ethereum,2017-09-26,24541
ethereum,2017-09-27,22203
ethereum,2017-09-28,15395
ethereum,2017-09-29,5822
ethereum,2017-09-30,9010
ethereum,2017-10-01,2964
ethereum,2017-10-02,7852
ethereum,2017-10-03,10768
ethereum,2017-10-04,10519
ethereum,2017-10-05,936
ethereum,2017-10-06,1574
ethereum,2017-10-07,4657
ethereum,2017-10-08,8843
ethereum,2017-10-09,14223
